,450a,550 'w': 'g',550a,550 'w': 'h',555a,555 'w': 'h',555 'w': 'g'
Amfibie,['Amphibious'],['Wóz bojowy'],['Czołgi pływające'],"['Amphibious Assault Vehicle', 'PTS-M (transporter pływający)']",,,
Amunicja,['Ammunition'],,"['Broń', 'Handel bronią', 'Nielegalne posiadanie broni lub amunicji', 'Nielegalne wytwarzanie broni palnej i amunicji', 'Niewypały i niewybuchy', 'Rozminowanie', 'Strzelanie']","['Amunicja karabinowa', 'Amunicja pistoletowa', 'Bomby głębinowe', 'Bomby lotnicze', 'Granaty (wojsko)', 'Ładunek miotający', 'Materiały wybuchowe', 'Miny (ładunki wybuchowe)', 'Pociski', 'Race', 'Środki zapalające', 'Torpeda', 'Zapalnik']",,,
Artyleria,['Artillery'],['Wojsko'],"['Balistyka', 'Bateria (pododdział)', 'Ciągniki artyleryjskie', 'Działa', 'Strzelanie artyleryjskie', 'Szkolnictwo artyleryjskie', 'Wojska rakietowe']","['Artyleria ciężka', 'Artyleria forteczna', 'Artyleria górska', 'Artyleria kolejowa', 'Artyleria konna', 'Artyleria lekka', 'Artyleria morska', 'Artyleria naziemna', 'Artyleria pancerna', 'Artyleria przeciwlotnicza', 'Artyleria przeciwpancerna', 'Artyleria pułkowa']",,,
Artyleria lekka,,['Artyleria'],,,,,
Artyleria morska,"['Artyleria nadbrzeżna', 'Artyleria okrętowa', 'Artillery, Coast']",['Artyleria'],['Wojna morska'],,,,
Artyleria pancerna,,"['Artyleria', 'Wojska pancerne']",,,,,
Artyleria przeciwlotnicza,['Antiaircraft artillery'],"['Artyleria', 'Obrona przeciwlotnicza']",,,,,
Artyleria przeciwpancerna,,['Artyleria'],['Broń przeciwpancerna'],,,,
Arado Ar 234 (samolot rozpoznawczy),"['Arado Ar 234', 'Arado 234 Blitz', 'Ar 234', 'Blitz Ar 234']",['Samoloty rozpoznawcze'],,,,,
Bagnet,['Bayonets'],['Broń sieczna'],['Nóż szturmowy'],,,,
Balistyka,['Ballistics'],['Mechanika stosowana'],"['Aerodynamika', 'Artyleria', 'Strzelanie']","['Balistyka końcowa', 'Balistyka wewnętrzna', 'Balistyka zewnętrzna']",,,
Bezpieczeństwo międzynarodowe,"['Obrona pokoju', 'Pokojowe współistnienie', 'Polityka pokojowa', 'Walka o pokój']",['Bezpieczeństwo'],"['Astropolityka', 'Badania nad pokojem', 'Dyplomacja prewencyjna', 'Kontrola zbrojeń', 'Operacje reagowania kryzysowego', 'Plan Gomułki (1963-1964)', 'Platforma Krymska', 'Protokół Litwinowa (1929)', 'Plan Rapackiego (1957)', 'Pokój', 'Polityka bezpieczeństwa', 'Polityka międzynarodowa', 'Prawo międzynarodowe', 'Program Wsparcia Bezpieczeństwa Regionu 2022 (ReSAP)', 'Rozbrojenie', 'Sekurytyzacja (politologia)', 'Siła państwa', 'Specjaliści ds. bezpieczeństwa i obronności', 'Strefy bezatomowe', 'System bezpieczeństwa zbiorowego', 'Szkoła kopenhaska (politologia)', 'Terroryzm państwowy', 'Wspólna Polityka Bezpieczeństwa i Obrony UE', 'Wspólna Polityka Zagraniczna i Bezpieczeństwa UE', 'Współpraca transatlantycka', 'Zimna wojna']",,['Traktat sojuszniczy'],,
Bezpieczeństwo publiczne,"['Bezpieczeństwo powszechne', 'Porządek publiczny']",['Bezpieczeństwo'],"['Administracja', 'Antyterroryzm', 'Bezpieczeństwo identyfikacyjne państwa', 'Bezpieczeństwo lokalne', 'Bezpieczna i przyjazna szkoła (program rządowy)', 'Bezpieczne Miasto (program)', 'Centra zarządzania kryzysowego', 'Dźwiękowy system ostrzegawczy', 'Godzina policyjna', 'Izby wytrzeźwień', 'Katastrofy', 'Klauzula porządku publicznego', 'Klęski elementarne', 'Komisja bezpieczeństwa i porządku (administracja)', 'Kontrola bezpieczeństwa', 'Kontrterroryzm', 'Krajowa Mapa Zagrożeń Bezpieczeństwa', 'Lockdown', 'Milicja', 'Nagroda Koziołek - Bezpieczne Świętokrzyskie', 'Numery alarmowe', 'Oddziały samoobrony', 'Osiedla zamknięte', 'Panoptyzm', 'Policja', 'Policja administracyjna', 'Policja sesyjna', 'Pożarnictwo', 'Prewencja kryminalna', 'Przepisy porządkowe', 'Przestępstwo przeciw bezpieczeństwu powszechnemu', 'Przestępstwo przeciw porządkowi publicznemu', 'Razem bezpieczniej (program rządowy)', 'Służba bezpieczeństwa', 'Straż gminna', 'System powiadamiania ratunkowego', 'Szeryfowie', 'Terroryzm', 'Znaki i barwy bezpieczeństwa', 'Wypadki']","['Bezpieczna plus (program rządowy)', 'Edukacja dla bezpieczeństwa']",,,
Straż marszałkowska,,,,,,,
Machiny i urządzenia oblężnicze,"['Machines and siege equipment', 'Machiny miotające', 'Machiny oblężnicze', 'Urządzenia oblężnicze']",['Broń'],"['Broń miotająca', 'Oblężenia', 'Twierdze i fortyfikacje']",,['Architektura obronna'],,
Bitwy,"['Battles', 'Potyczki']",['Wojna'],"['Batalistyka', 'Oblężenia', 'Pole bitwy (miejsce)']","['Bitwy lądowe', 'Bitwy morskie', 'Bitwy powietrzne']",,,
Bombardowanie lotnicze,"['Nalot bombowy', 'Bombing, Aerial']",,"['Bomby lotnicze', 'Samoloty bombowe', 'Wojna lotnicza', 'Zaciemnienie (wojskowość)']","['Bombardowanie Drezna (1945)', 'Bombardowanie Frampola (1939)', 'Operacja Afrodyta (1944-1945)', 'Operacja Chastise (1943)', 'Operacja ""Frantic"" (1944)', 'Operacja ""Gomora"" (1943)', 'Rajd Doolittle’a (1942)']",,,
